Notes,County,County Code,Year,Year Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,STATE,COUNTY,STNAME,CTYNAME,year,population,fips
,"Duval County, FL",12031,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,120.0,12,31,Florida,Duval County,2010,865876,12031
,"Duval County, FL",12031,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,120.0,12,31,Florida,Duval County,2010,865628,12031
,"Escambia County, FL",12033,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,12,33,Florida,Escambia County,2010,298043,12033
,"Escambia County, FL",12033,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,12,33,Florida,Escambia County,2010,298038,12033
,"Hernando County, FL",12053,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,50.0,12,53,Florida,Hernando County,2010,173008,12053
,"Hernando County, FL",12053,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,50.0,12,53,Florida,Hernando County,2010,172969,12053
,"Hillsborough County, FL",12057,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,237.0,12,57,Florida,Hillsborough County,2010,1233846,12057
,"Hillsborough County, FL",12057,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,237.0,12,57,Florida,Hillsborough County,2010,1233498,12057
,"Indian River County, FL",12061,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,12,61,Florida,Indian River County,2010,138268,12061
,"Indian River County, FL",12061,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,12,61,Florida,Indian River County,2010,138270,12061
,"Lake County, FL",12069,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,34.0,12,69,Florida,Lake County,2010,297950,12069
,"Lake County, FL",12069,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,34.0,12,69,Florida,Lake County,2010,297709,12069
,"Lee County, FL",12071,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,80.0,12,71,Florida,Lee County,2010,620151,12071
,"Lee County, FL",12071,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,80.0,12,71,Florida,Lee County,2010,620449,12071
,"Manatee County, FL",12081,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,61.0,12,81,Florida,Manatee County,2010,323435,12081
,"Manatee County, FL",12081,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,61.0,12,81,Florida,Manatee County,2010,323424,12081
,"Marion County, FL",12083,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,51.0,12,83,Florida,Marion County,2010,331290,12083
,"Marion County, FL",12083,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,51.0,12,83,Florida,Marion County,2010,331331,12083
,"Martin County, FL",12085,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,12,85,Florida,Martin County,2010,146393,12085
,"Martin County, FL",12085,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,12,85,Florida,Martin County,2010,146909,12085
,"Miami-Dade County, FL",12086,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,77.0,12,86,Florida,Miami-Dade County,2010,2505379,12086
,"Miami-Dade County, FL",12086,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,77.0,12,86,Florida,Miami-Dade County,2010,2506972,12086
,"Monroe County, FL",12087,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,12,87,Florida,Monroe County,2010,73269,12087
,"Monroe County, FL",12087,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,12,87,Florida,Monroe County,2010,73220,12087
,"Nassau County, FL",12089,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,12,89,Florida,Nassau County,2010,73473,12089
,"Nassau County, FL",12089,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,12,89,Florida,Nassau County,2010,73513,12089
,"Okaloosa County, FL",12091,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,12,91,Florida,Okaloosa County,2010,180728,12091
,"Okaloosa County, FL",12091,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,12,91,Florida,Okaloosa County,2010,180715,12091
,"Orange County, FL",12095,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,125.0,12,95,Florida,Orange County,2010,1149500,12095
,"Orange County, FL",12095,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,125.0,12,95,Florida,Orange County,2010,1148564,12095
,"Osceola County, FL",12097,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,12,97,Florida,Osceola County,2010,269837,12097
,"Osceola County, FL",12097,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,12,97,Florida,Osceola County,2010,269837,12097
,"Palm Beach County, FL",12099,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,193.0,12,99,Florida,Palm Beach County,2010,1323394,12099
,"Palm Beach County, FL",12099,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,193.0,12,99,Florida,Palm Beach County,2010,1323619,12099
,"Pasco County, FL",12101,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,159.0,12,101,Florida,Pasco County,2010,465543,12101
,"Pasco County, FL",12101,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,159.0,12,101,Florida,Pasco County,2010,465487,12101
,"Pinellas County, FL",12103,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,238.0,12,103,Florida,Pinellas County,2010,916719,12103
,"Pinellas County, FL",12103,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,238.0,12,103,Florida,Pinellas County,2010,916412,12103
,"Polk County, FL",12105,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,86.0,12,105,Florida,Polk County,2010,602788,12105
,"Polk County, FL",12105,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,86.0,12,105,Florida,Polk County,2010,603102,12105
,"Putnam County, FL",12107,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,12,107,Florida,Putnam County,2010,74262,12107
,"Putnam County, FL",12107,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,12,107,Florida,Putnam County,2010,74220,12107
,"St. Johns County, FL",12109,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,12,109,Florida,St. Johns County,2010,191323,12109
,"St. Johns County, FL",12109,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,12,109,Florida,St. Johns County,2010,191249,12109
,"St. Lucie County, FL",12111,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,43.0,12,111,Florida,St. Lucie County,2010,278689,12111
,"St. Lucie County, FL",12111,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,43.0,12,111,Florida,St. Lucie County,2010,278264,12111
,"Santa Rosa County, FL",12113,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,12,113,Florida,Santa Rosa County,2010,151966,12113
,"Santa Rosa County, FL",12113,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,12,113,Florida,Santa Rosa County,2010,152908,12113
,"Sarasota County, FL",12115,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,64.0,12,115,Florida,Sarasota County,2010,379874,12115
,"Sarasota County, FL",12115,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,64.0,12,115,Florida,Sarasota County,2010,379930,12115
,"Seminole County, FL",12117,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,61.0,12,117,Florida,Seminole County,2010,423508,12117
,"Seminole County, FL",12117,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,61.0,12,117,Florida,Seminole County,2010,423051,12117
,"Volusia County, FL",12127,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,104.0,12,127,Florida,Volusia County,2010,494527,12127
,"Volusia County, FL",12127,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,104.0,12,127,Florida,Volusia County,2010,494440,12127
,"Barrow County, GA",13013,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,13,13,Georgia,Barrow County,2010,69731,13013
,"Barrow County, GA",13013,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,13,13,Georgia,Barrow County,2010,69676,13013
,"Bartow County, GA",13015,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,13,15,Georgia,Bartow County,2010,100195,13015
,"Bartow County, GA",13015,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,13,15,Georgia,Bartow County,2010,100050,13015
,"Bibb County, GA",13021,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,13,21,Georgia,Bibb County,2010,155715,13021
,"Bibb County, GA",13021,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,13,21,Georgia,Bibb County,2010,155814,13021
,"Carroll County, GA",13045,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,13,45,Georgia,Carroll County,2010,110661,13045
,"Carroll County, GA",13045,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,13,45,Georgia,Carroll County,2010,110655,13045
,"Chatham County, GA",13051,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,13,51,Georgia,Chatham County,2010,265871,13051
,"Chatham County, GA",13051,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,13,51,Georgia,Chatham County,2010,265799,13051
,"Cherokee County, GA",13057,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,13,57,Georgia,Cherokee County,2010,215129,13057
,"Cherokee County, GA",13057,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,13,57,Georgia,Cherokee County,2010,215197,13057
,"Clayton County, GA",13063,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,13,63,Georgia,Clayton County,2010,259623,13063
,"Clayton County, GA",13063,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,13,63,Georgia,Clayton County,2010,259877,13063
,"Cobb County, GA",13067,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,50.0,13,67,Georgia,Cobb County,2010,690063,13067
,"Cobb County, GA",13067,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,50.0,13,67,Georgia,Cobb County,2010,689495,13067
,"Columbia County, GA",13073,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,13,73,Georgia,Columbia County,2010,124815,13073
,"Columbia County, GA",13073,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,13,73,Georgia,Columbia County,2010,124955,13073
,"DeKalb County, GA",13089,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,13,89,Georgia,DeKalb County,2010,692902,13089
,"DeKalb County, GA",13089,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,13,89,Georgia,DeKalb County,2010,692443,13089
,"Douglas County, GA",13097,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,13,97,Georgia,Douglas County,2010,132722,13097
,"Douglas County, GA",13097,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,13,97,Georgia,Douglas County,2010,132573,13097
,"Fannin County, GA",13111,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,13,111,Georgia,Fannin County,2010,23663,13111
,"Fannin County, GA",13111,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,13,111,Georgia,Fannin County,2010,23685,13111
,"Floyd County, GA",13115,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,13,115,Georgia,Floyd County,2010,96274,13115
,"Floyd County, GA",13115,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,13,115,Georgia,Floyd County,2010,96431,13115
,"Forsyth County, GA",13117,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,13,117,Georgia,Forsyth County,2010,176738,13117
,"Forsyth County, GA",13117,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,13,117,Georgia,Forsyth County,2010,176723,13117
,"Fulton County, GA",13121,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,91.0,13,121,Georgia,Fulton County,2010,926197,13121
,"Fulton County, GA",13121,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,91.0,13,121,Georgia,Fulton County,2010,925632,13121
,"Gwinnett County, GA",13135,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,38.0,13,135,Georgia,Gwinnett County,2010,808719,13135
,"Gwinnett County, GA",13135,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,38.0,13,135,Georgia,Gwinnett County,2010,808007,13135
,"Hall County, GA",13139,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,13,139,Georgia,Hall County,2010,180253,13139
,"Hall County, GA",13139,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,13,139,Georgia,Hall County,2010,180033,13139
,"Haralson County, GA",13143,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,13,143,Georgia,Haralson County,2010,28774,13143
,"Haralson County, GA",13143,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,13,143,Georgia,Haralson County,2010,28758,13143
,"Henry County, GA",13151,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,13,151,Georgia,Henry County,2010,205265,13151
,"Henry County, GA",13151,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,13,151,Georgia,Henry County,2010,205039,13151
,"Murray County, GA",13213,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,13,213,Georgia,Murray County,2010,39559,13213
,"Murray County, GA",13213,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,13,213,Georgia,Murray County,2010,39533,13213
,"Muscogee County, GA",13215,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,13,215,Georgia,Muscogee County,2010,190417,13215
,"Muscogee County, GA",13215,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,13,215,Georgia,Muscogee County,2010,191101,13215
,"Paulding County, GA",13223,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0,13,223,Georgia,Paulding County,2010,142741,13223
,"Paulding County, GA",13223,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0,13,223,Georgia,Paulding County,2010,142837,13223
,"Polk County, GA",13233,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,13,233,Georgia,Polk County,2010,41523,13233
,"Polk County, GA",13233,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,13,233,Georgia,Polk County,2010,41547,13233
,"Richmond County, GA",13245,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,13,245,Georgia,Richmond County,2010,201005,13245
,"Richmond County, GA",13245,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,13,245,Georgia,Richmond County,2010,201115,13245
,"Whitfield County, GA",13313,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,13,313,Georgia,Whitfield County,2010,102934,13313
,"Whitfield County, GA",13313,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,13,313,Georgia,Whitfield County,2010,102745,13313
,"Ada County, ID",16001,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,35.0,16,1,Idaho,Ada County,2010,393531,16001
,"Ada County, ID",16001,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,35.0,16,1,Idaho,Ada County,2010,393354,16001
,"Bonneville County, ID",16019,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,16,19,Idaho,Bonneville County,2010,104592,16019
,"Bonneville County, ID",16019,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,16,19,Idaho,Bonneville County,2010,104675,16019
,"Canyon County, ID",16027,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,16,27,Idaho,Canyon County,2010,189428,16027
,"Canyon County, ID",16027,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,16,27,Idaho,Canyon County,2010,189347,16027
,"DeSoto County, MS",28033,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,28,33,Mississippi,DeSoto County,2010,161746,28033
,"DeSoto County, MS",28033,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,28,33,Mississippi,DeSoto County,2010,161778,28033
,"Harrison County, MS",28047,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,28,47,Mississippi,Harrison County,2010,187785,28047
,"Harrison County, MS",28047,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,28,47,Mississippi,Harrison County,2010,187859,28047
,"Jackson County, MS",28059,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,41.0,28,59,Mississippi,Jackson County,2010,139698,28059
,"Jackson County, MS",28059,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,41.0,28,59,Mississippi,Jackson County,2010,139469,28059
,"Pearl River County, MS",28109,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,28,109,Mississippi,Pearl River County,2010,55788,28109
,"Pearl River County, MS",28109,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,28,109,Mississippi,Pearl River County,2010,55693,28109
,"Rankin County, MS",28121,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,28,121,Mississippi,Rankin County,2010,142018,28121
,"Rankin County, MS",28121,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,28,121,Mississippi,Rankin County,2010,142515,28121
,"Missoula County, MT",30063,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,30,63,Montana,Missoula County,2010,109494,30063
,"Missoula County, MT",30063,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,30,63,Montana,Missoula County,2010,109467,30063
,"Brunswick County, NC",37019,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,37,19,North Carolina,Brunswick County,2010,107992,37019
,"Brunswick County, NC",37019,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,37,19,North Carolina,Brunswick County,2010,108069,37019
,"Buncombe County, NC",37021,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,37,21,North Carolina,Buncombe County,2010,238832,37021
,"Buncombe County, NC",37021,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,37,21,North Carolina,Buncombe County,2010,238738,37021
,"Burke County, NC",37023,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,37,23,North Carolina,Burke County,2010,90771,37023
,"Burke County, NC",37023,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,37,23,North Carolina,Burke County,2010,90580,37023
,"Cabarrus County, NC",37025,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,37,25,North Carolina,Cabarrus County,2010,178588,37025
,"Cabarrus County, NC",37025,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,37,25,North Carolina,Cabarrus County,2010,178562,37025
,"Carteret County, NC",37031,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,37,31,North Carolina,Carteret County,2010,66685,37031
,"Carteret County, NC",37031,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,37,31,North Carolina,Carteret County,2010,66700,37031
,"Catawba County, NC",37035,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,37,35,North Carolina,Catawba County,2010,154389,37035
,"Catawba County, NC",37035,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,37,35,North Carolina,Catawba County,2010,154730,37035
,"Cherokee County, NC",37039,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,37,39,North Carolina,Cherokee County,2010,27436,37039
,"Cherokee County, NC",37039,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,37,39,North Carolina,Cherokee County,2010,27435,37039
,"Cleveland County, NC",37045,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,37,45,North Carolina,Cleveland County,2010,98050,37045
,"Cleveland County, NC",37045,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,37,45,North Carolina,Cleveland County,2010,97917,37045
,"Columbus County, NC",37047,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,37,47,North Carolina,Columbus County,2010,57994,37047
,"Columbus County, NC",37047,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,37,47,North Carolina,Columbus County,2010,57992,37047
,"Craven County, NC",37049,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,37,49,North Carolina,Craven County,2010,103908,37049
,"Craven County, NC",37049,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,37,49,North Carolina,Craven County,2010,104171,37049
,"Cumberland County, NC",37051,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,34.0,37,51,North Carolina,Cumberland County,2010,320267,37051
,"Cumberland County, NC",37051,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,34.0,37,51,North Carolina,Cumberland County,2010,327197,37051
,"Davidson County, NC",37057,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,37,57,North Carolina,Davidson County,2010,162930,37057
,"Davidson County, NC",37057,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,37,57,North Carolina,Davidson County,2010,162840,37057
,"Durham County, NC",37063,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,37,63,North Carolina,Durham County,2010,268454,37063
,"Durham County, NC",37063,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,37,63,North Carolina,Durham County,2010,271357,37063
,"Forsyth County, NC",37067,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,37,67,North Carolina,Forsyth County,2010,351335,37067
,"Forsyth County, NC",37067,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,37,67,North Carolina,Forsyth County,2010,351374,37067
,"Gaston County, NC",37071,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,46.0,37,71,North Carolina,Gaston County,2010,206213,37071
,"Gaston County, NC",37071,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,46.0,37,71,North Carolina,Gaston County,2010,206114,37071
,"Guilford County, NC",37081,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,37,81,North Carolina,Guilford County,2010,489681,37081
,"Guilford County, NC",37081,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,37,81,North Carolina,Guilford County,2010,489618,37081
,"Harnett County, NC",37085,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,37,85,North Carolina,Harnett County,2010,115733,37085
,"Harnett County, NC",37085,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,37,85,North Carolina,Harnett County,2010,115753,37085
,"Haywood County, NC",37087,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,37,87,North Carolina,Haywood County,2010,58935,37087
,"Haywood County, NC",37087,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,37,87,North Carolina,Haywood County,2010,58932,37087
,"Henderson County, NC",37089,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,37,89,North Carolina,Henderson County,2010,106978,37089
,"Henderson County, NC",37089,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,37,89,North Carolina,Henderson County,2010,106891,37089
,"Iredell County, NC",37097,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,37,97,North Carolina,Iredell County,2010,159771,37097
,"Iredell County, NC",37097,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,37,97,North Carolina,Iredell County,2010,159778,37097
,"Johnston County, NC",37101,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,37,101,North Carolina,Johnston County,2010,169735,37101
,"Johnston County, NC",37101,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,37,101,North Carolina,Johnston County,2010,169678,37101
,"Mecklenburg County, NC",37119,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,43.0,37,119,North Carolina,Mecklenburg County,2010,923427,37119
,"Mecklenburg County, NC",37119,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,43.0,37,119,North Carolina,Mecklenburg County,2010,923242,37119
,"New Hanover County, NC",37129,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0,37,129,North Carolina,New Hanover County,2010,203341,37129
,"New Hanover County, NC",37129,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0,37,129,North Carolina,New Hanover County,2010,203284,37129
,"Onslow County, NC",37133,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,37,133,North Carolina,Onslow County,2010,179471,37133
,"Onslow County, NC",37133,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,37,133,North Carolina,Onslow County,2010,186892,37133
,"Pitt County, NC",37147,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,37,147,North Carolina,Pitt County,2010,168817,37147
,"Pitt County, NC",37147,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,37,147,North Carolina,Pitt County,2010,168863,37147
,"Randolph County, NC",37151,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,37,151,North Carolina,Randolph County,2010,141960,37151
,"Randolph County, NC",37151,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,37,151,North Carolina,Randolph County,2010,141985,37151
,"Rockingham County, NC",37157,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,37,157,North Carolina,Rockingham County,2010,93641,37157
,"Rockingham County, NC",37157,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,37,157,North Carolina,Rockingham County,2010,93661,37157
,"Rowan County, NC",37159,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,37,159,North Carolina,Rowan County,2010,138446,37159
,"Rowan County, NC",37159,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,37,159,North Carolina,Rowan County,2010,138331,37159
,"Rutherford County, NC",37161,2010,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,37,161,North Carolina,Rutherford County,2010,67772,37161
